code,name,level
41,Здания и работы по возведению зданий,1
41.1,Документация проектная для строительства,2
41.10,Документация проектная для строительства,2
41.10.1,Документация проектная для строительства,3
41.10.10,Документация проектная для строительства,3
41.10.10.000,Документация проектная для строительства,4
41.2,Здания и работы по возведению зданий,2
41.20,Здания и работы по возведению зданий,2
41.20.1,Здания жилые,3
41.20.10,Здания жилые,3
41.20.10.110,Здания жилые общего назначения,4
41.20.10.120,Здания общежитий,4
41.20.10.130,"Здания спальных корпусов школ-итернатов, детских домов",4
41.20.10.140,Здания домов для престарелых и инвалидов,4
41.20.10.190,"Здания жилые прочие, не включенные в другие группировки",4
41.20.2,Здания нежилые,3
41.20.20,Здания нежилые,3
41.20.20.100,Здания нежилые,4
41.20.20.110,"Здания топливно-энергетических, металлургических, химических и нефтехимических предприятий",4
41.20.20.120,Здания машиностроительных предприятий,4
41.20.20.130,"Здания предприятий лесной, деревообрабатывающей, целлюлозно-бумажной, стекольной, фарфоро-фаянсовой, полиграфической промышленности и предприятий промышленности строительных материалов",4
41.20.20.140,"Здания предприятий легкой, пищевой, микробиологической, мукомольно-крупяной, комбикормовой и медицинской промышленности",4
41.20.20.150,Здания сельскохозяйственных предприятий и предприятий лесного хозяйства,4
41.20.20.160,"Здания предприятий строительной индустрии, транспорта и связи",4
41.20.20.170,"Здания предприятий торговли, общественного питания, жилищно-коммунального хозяйства",4
41.20.20.180,"Здания предприятий здравоохранения, науки и научного обслуживания, образования, культуры и искусства",4
41.20.20.210,"Здания для органов государственного управления, обороны, государственной безопасности, финансов и иностранных представительств",4
41.20.20.290,"Здания нежилые, не включенные в другие группировки",4
41.20.20.300,"Сооружения топливно-энергетических, нефтехимических, газохимических и химических предприятий",4
41.20.20.310,Сооружения нефтехимических предприятий,4
41.20.20.320,Сооружения газохимических предприятий,4
41.20.20.330,Сооружения химических предприятий,4
41.20.20.340,Сооружения нефтегазодобывающих предприятий,4
41.20.20.341,Парк резервуарный,4
41.20.20.342,Сеть нефтегазосборная,4
41.20.20.343,Сооружение головное по подготовке газа,4
41.20.20.344,Установка комплексной подготовки газа абсорбционная,4
41.20.20.345,Установка нефтепромысловая,4
41.20.20.346,Установка осушки газа,4
41.20.20.347,Установки очистки газа от сероводорода,4
41.20.20.348,Установка подготовки нефтяного газа,4
41.20.20.349,Сооружения нефтегазодобывающих предприятий прочие,4
41.20.20.350,Сооружения нефтегазоперерабатывающих предприятий,4
41.20.20.351,База сжиженных газов,4
41.20.20.352,Комплекс установки газофракционирующий,4
41.20.20.353,"Сооружения для сжижения, хранения и регазификации газа",4
41.20.20.354,Установка мембранного выделения гелиевого концентрата,4
41.20.20.359,Сооружения нефтегазоперерабатывающих предприятий прочие,4
41.20.20.390,"Сооружения топливо-энергетических предприятий прочие, не включенные в другие группировки",4
41.20.20.400,"Сооружения, относящиеся к объектам использования атомной энергии, кроме ядерных установок, атомных станций и радиационных источников",4
41.20.20.410,Пункты хранения ядерных материалов и радиоактивных веществ,4
41.20.20.420,"Пункты хранения, хранилища радиоактивных отходов",4
41.20.20.430,Пункты захоронения радиоактивных отходов,4
41.20.20.500,"Сооружения лесной промышленности, мукомольно-крупяной и комбикормовой промышленности, сооружения для сельскохозяйственного производства",4
41.20.20.600,"Сооружения для строительной индустрии, транспорта и связи",4
41.20.20.610,Сооружения для строительной индустрии,4
41.20.20.620,Сооружения связи,4
41.20.20.621,Сеть связи и радиофикации,4
41.20.20.622,"Система космической связи ""Орбита""",4
41.20.20.623,Система связи с подвижными объектами,4
41.20.20.624,Система телефонной УКВ связи с подвижными объектами,4
41.20.20.625,Сооружение линейное кабельной линии технологической связи,4
41.20.20.626,Сооружение антенно-мачтовое,4
41.20.20.629,Сооружения связи прочие,4
41.20.20.630,Сооружения магистрального трубопроводного транспорта,4
41.20.20.631,Парк из металлических вертикальных цилиндрических резервуаров,4
41.20.20.632,Сооружения магистрального трубопроводного транспорта прочие,4
41.20.20.640,Сооружения железнодорожного транспорта,4
41.20.20.690,Сооружения прочего транспорта,4
41.20.20.700,"Сооружения жилищно-коммунального хозяйства, охраны окружающей среды и рационального природопользования",4
41.20.20.710,Сооружения электрических и тепловых сетей,4
41.20.20.711,Комплекс электроснабжения,4
41.20.20.712,Пункт электрический распределительный,4
41.20.20.713,Сеть тепловая магистральная,4
41.20.20.719,Сооружения электрических и тепловых сетей прочие,4
41.20.20.720,Сооружения по охране окружающей среды и рациональному природопользованию,4
41.20.20.721,Установка очистки газа на головных водопроводных станциях от хлора и озона,4
41.20.20.722,Установка очистки газообразных и жидких углеводородов от сернистых соединений,4
41.20.20.723,Установка по очистке газа,4
41.20.20.729,Сооружения по охране окружающей среды и рациональному природопользованию прочие,4
41.20.20.790,"Сооружения жилищно-коммунального хозяйства прочие, не включенные в другие группировки",4
41.20.20.800,Сооружения металлургического и машиностроительного производства,4
41.20.20.900,"Сооружения спортивно-оздоровительные и сооружения прочие, не включенные в другие группировки",4
41.20.3,Работы по возведению жилых зданий,3
41.20.30,Работы по возведению жилых зданий,3
